fecha;pormedioVenta
25.12.2024;143,99
26.12.2024;116,25
27.12.2024;134,5
28.12.2024;124,92
30.12.2024;135,67
31.12.2024;145,71
01.01.2025;142,24
02.01.2025;142,26
03.01.2025;146,7
04.01.2025;150,17
05.01.2025;154,5
06.01.2025;150,0
07.01.2025;152,79
08.01.2025;148,07
09.01.2025;138,29
10.01.2025;152,99
11.01.2025;166,67
12.01.2025;165,0
13.01.2025;165,0
14.01.2025;170,2
15.01.2025;174,28
16.01.2025;212,13
17.01.2025;183,0
18.01.2025;197,0
19.01.2025;214,9
20.01.2025;195,37
21.01.2025;184,4
22.01.2025;172,0
23.01.2025;201,98
24.01.2025;231,98
25.01.2025;141,65
26.01.2025;201,0
27.01.2025;223,33
28.01.2025;219,11
29.01.2025;197,4
30.01.2025;246,98
31.01.2025;149,47
01.02.2025;243,48
02.02.2025;199,0
04.02.2025;190,66
05.02.2025;215,5
06.02.2025;188,43
07.02.2025;159,25
08.02.2025;236,15
09.02.2025;201,0
10.02.2025;188,33
11.02.2025;149,0
12.02.2025;200,75
13.02.2025;181,75
14.02.2025;194,33
15.02.2025;255,82
16.02.2025;185,0
17.02.2025;177,43
18.02.2025;194,33
19.02.2025;220,31
20.02.2025;181,8
21.02.2025;178,6
22.02.2025;184,5
24.02.2025;189,0
25.02.2025;189,97
26.02.2025;211,14
27.02.2025;196,5
28.02.2025;192,16
01.03.2025;180,32
03.03.2025;231,75
04.03.2025;218,33
05.03.2025;179,0
06.03.2025;206,7
07.03.2025;239,48
08.03.2025;187,49
09.03.2025;194,0
10.03.2025;184,65
11.03.2025;182,22
12.03.2025;187,5
13.03.2025;191,62
14.03.2025;223,36
15.03.2025;188,49
16.03.2025;177,5
17.03.2025;180,0
18.03.2025;213,75
19.03.2025;196,3
20.03.2025;173,5
21.03.2025;299,48
22.03.2025;190,78
23.03.2025;185,0
24.03.2025;184,94
25.03.2025;166,24
26.03.2025;201,74
27.03.2025;182,91
28.03.2025;354,38
29.03.2025;180,0
30.03.2025;206,49
31.03.2025;171,5
01.04.2025;190,99
02.04.2025;186,5
03.04.2025;180,6
04.04.2025;194,65
05.04.2025;234,5
06.04.2025;189,0
08.04.2025;183,48
09.04.2025;242,0
11.04.2025;181,67
12.04.2025;199,98
13.04.2025;186,13
