idOferta;nick;pais;tipoVendedor;ventas;stock;language;quality;hayIconoEsp;iconoEsp;hayFoto;hayComentario;comentario;quantity;precio;moneda;finiOferta;ffinOferta
articleRow1822832274;izzi123;Belgium;Private;6,0;1803,0;English;NM;False;-;False;False;-;1;20,0;€;2025-04-14;2025-04-16
articleRow1773321431;Kiki237;Italy;Professional;4495,0;851,0;Italian;PO;False;-;False;True;[::: CHECK OUR STOCK :::];1;29,99;€;2025-04-14;
articleRow1731883547;Timetwistergames;Italy;Professional;5987,0;8726,0;Italian;PO;False;-;False;False;-;1;30,0;€;2025-04-14;
articleRow1571489928;Onurb;Germany;Private;4,0;19,0;Italian;PO;False;-;True;False;-;1;30,0;€;2025-04-14;
articleRow1793781871;ManaVortex-POOL4YOU;Spain;Private;141575,0;14668,0;Italian;PO;False;-;False;True;RE1391 JAN25;1;34,99;€;2025-04-14;
articleRow1815287663;TORREDIPISADRITTA;Italy;Private;1687,0;1571,0;English;PO;False;-;False;True;we buy cards;1;35,0;€;2025-04-14;
articleRow1144963283;Kamina1997;Italy;Private;715,0;1595,0;Italian;PO;False;-;False;False;-;1;35,0;€;2025-04-14;
articleRow1789327331;Mich81lb;Italy;Private;579,0;5938,0;Italian;PO;False;-;False;False;-;1;37,0;€;2025-04-14;
articleRow1358428468;vaiber938;Italy;Private;15,0;15,0;Italian;PO;False;-;False;False;-;1;38,0;€;2025-04-14;
articleRow1764592320;Jeff-Pesos;Italy;Professional;1483,0;84651,0;Italian;PO;False;-;False;True;4.7.7;1;38,7;€;2025-04-14;
articleRow1126814568;nemesis87;Italy;Private;543,0;49,0;Italian;PO;False;-;True;True;holo;1;39,5;€;2025-04-14;
articleRow1599478265;TRIcollectibles;Switzerland;Professional;4760,0;355,0;German;PL;False;-;False;True;bent and a bit holo surface wear.;1;39,9;€;2025-04-14;
articleRow1381906458;GattaFix;Italy;Private;69,0;903,0;Italian;PO;False;-;True;True;inked on the back;1;39,95;€;2025-04-14;
articleRow1212815286;TCGringotts;Germany;Professional;31803,0;17840,0;German;PO;False;-;False;False;-;2;39,99;€;2025-04-14;
articleRow1738284915;Gindir;Germany;Private;45,0;2,0;German;PO;False;-;False;True;ask for pics;1;39,99;€;2025-04-14;
articleRow1731371754;lolly-moretti;Italy;Private;563,0;12811,0;Italian;PO;False;-;False;False;-;1;40,0;€;2025-04-14;
articleRow1784518290;PokeSandero;Switzerland;Private;181,0;1989,0;Italian;PL;False;-;False;True;Ask for pictures;1;44,9;€;2025-04-14;
articleRow1590071554;NiklasWoltmann;Germany;Private;18,0;15,0;German;PO;False;-;False;False;-;1;45,0;€;2025-04-14;
articleRow1207035012;Schnatterinchen18;Germany;Private;687,0;3995,0;German;PL;False;-;False;True;pl-po - Fotos auf Anfrage;1;46,0;€;2025-04-14;
articleRow1779575784;DN-Cards;Germany;Professional;7395,0;20704,0;German;PL;False;-;False;False;-;1;48,99;€;2025-04-14;
articleRow1776573751;Fantamagus-Monza;Italy;Professional;5693,0;2950,0;Italian;PL;False;-;False;True;FP;1;50,0;€;2025-04-14;
articleRow1698245042;ElicElicElic;Germany;Professional;5188,0;52369,0;German;PL;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1693409030;ItsTimeToDuel-Anto;Italy;Professional;4985,0;2434,0;Italian;PO;False;-;False;True;POOR CONDITION!;1;50,0;€;2025-04-14;
articleRow1732216523;Dutchseller02;Netherlands;Professional;1821,0;7251,0;French;PO;False;-;False;True;*;1;50,0;€;2025-04-14;
articleRow1228093618;Jorgemb1988;Spain;Private;185,0;4,0;Spanish;PL;False;-;False;False;-;1;50,0;€;2025-04-14;
articleRow1790803185;NaNikKiko;Germany;Private;42,0;503,0;German;PL;False;-;False;False;-;1;50,0;€;2025-04-14;
